title,link,original,sale,discount,currency,date,time
icey,https://store.steampowered.com/app/553640/ICEY/?snr=1_7_7_2300_150_7,13.99,9.09,35,CDN,2020-04-25,14:28
call of juarez: gunslinger,https://store.steampowered.com/app/204450/Call_of_Juarez_Gunslinger/?snr=1_7_7_2300_150_7,18.99,7.59,60,CDN,2020-04-25,14:28
frog detective 2: the case of the invisible wizard,https://store.steampowered.com/app/1047220/Frog_Detective_2_The_Case_of_the_Invisible_Wizard/?snr=1_7_7_2300_150_7,5.69,5.12,10,CDN,2020-04-25,14:28
mutazione,https://store.steampowered.com/app/1080750/Mutazione/?snr=1_7_7_2300_150_7,22.79,17.09,25,CDN,2020-04-25,14:28
rds - the official drift videogame,https://store.steampowered.com/app/934930/RDS__The_Official_Drift_Videogame/?snr=1_7_7_2300_150_7,20.49,12.90,37,CDN,2020-04-25,14:28
senren＊banka,https://store.steampowered.com/app/1144400/SenrenBanka/?snr=1_7_7_2300_150_7,39.99,35.99,10,CDN,2020-04-25,14:28
silence,https://store.steampowered.com/app/314790/Silence/?snr=1_7_7_2300_150_7,29.99,20.09,33,CDN,2020-04-25,14:28
the haunted island\, a frog detective game,https://store.steampowered.com/app/963000/The_Haunted_Island_a_Frog_Detective_Game/?snr=1_7_7_2300_150_7,5.69,3.98,30,CDN,2020-04-25,14:28
felix the reaper,https://store.steampowered.com/app/919410/Felix_The_Reaper/?snr=1_7_7_2300_150_7,34.99,6.99,80,CDN,2020-04-25,14:28
eliza,https://store.steampowered.com/app/716500/Eliza/?snr=1_7_7_2300_150_7,17.49,13.11,25,CDN,2020-04-25,14:28
framed collection,https://store.steampowered.com/app/322450/FRAMED_Collection/?snr=1_7_7_2300_150_7,11.49,4.59,60,CDN,2020-04-25,14:28
gone home,https://store.steampowered.com/app/232430/Gone_Home/?snr=1_7_7_2300_150_7,16.99,8.49,50,CDN,2020-04-25,14:28
dynasty warriors 9,https://store.steampowered.com/app/730310/DYNASTY_WARRIORS_9/?snr=1_7_7_2300_150_7,51.49,36.04,30,CDN,2020-04-25,14:28
niffelheim,https://store.steampowered.com/app/351100/Niffelheim/?snr=1_7_7_2300_150_7,19.99,2.99,85,CDN,2020-04-25,14:28
tennis world tour,https://store.steampowered.com/app/692030/Tennis_World_Tour/?snr=1_7_7_2300_150_7,66.49,13.29,80,CDN,2020-04-25,14:28
invisigun reloaded,https://store.steampowered.com/app/375750/Invisigun_Reloaded/?snr=1_7_7_2300_150_7,22.79,2.27,90,CDN,2020-04-25,14:28
masquerada: songs and shadows,https://store.steampowered.com/app/459090/Masquerada_Songs_and_Shadows/?snr=1_7_7_2300_150_7,21.99,8.79,60,CDN,2020-04-25,14:28
rising world,https://store.steampowered.com/app/324080/Rising_World/?snr=1_7_7_2300_150_7,16.99,12.74,25,CDN,2020-04-25,14:28
syberia 3,https://store.steampowered.com/app/464340/Syberia_3/?snr=1_7_7_2300_150_7,33.99,5.43,84,CDN,2020-04-25,14:28
80 days,https://store.steampowered.com/app/381780/80_Days/?snr=1_7_7_2300_150_7,14.49,7.24,50,CDN,2020-04-25,14:28
blind,https://store.steampowered.com/app/406860/Blind/?snr=1_7_7_2300_150_7,28.99,5.79,80,CDN,2020-04-25,14:28
mini healer,https://store.steampowered.com/app/955740/Mini_Healer/?snr=1_7_7_2300_150_7,8.99,7.64,15,CDN,2020-04-25,14:28
holy potatoes! a spy story?!,https://store.steampowered.com/app/830590/Holy_Potatoes_A_Spy_Story/?snr=1_7_7_2300_150_7,17.99,4.67,74,CDN,2020-04-25,14:28
contagion vr: outbreak,https://store.steampowered.com/app/676840/Contagion_VR_Outbreak/?snr=1_7_7_2300_150_7,22.79,15.26,33,CDN,2020-04-25,14:28
